"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-05-05 10:27:58","BUY","ONGC","CNC","17/17",288.85,"COMPLETE",""
"2026-05-05 10:27:58","BUY","SUPREMEIND","CNC","1/1",3652.5,"COMPLETE",""
"2026-05-05 10:27:57","BUY","VEDL","CNC","18/18",301.95,"COMPLETE",""
"2026-05-05 10:27:57","BUY","SAIL","CNC","27/27",188.15,"COMPLETE",""
"2026-05-05 10:27:57","BUY","HINDPETRO","CNC","13/13",369.75,"COMPLETE",""
"2026-05-05 10:27:57","BUY","BPCL","CNC","17/17",297.25,"COMPLETE",""
"2026-05-05 10:27:57","BUY","MOTILALOFS","CNC","6/6",830.8,"COMPLETE",""
"2026-05-05 10:27:57","BUY","MOTHERSON","CNC","42/42",120.5,"COMPLETE",""
"2026-05-05 10:27:57","BUY","TMPV","CNC","15/15",341.6,"COMPLETE",""
"2026-05-05 10:27:57","BUY","MRPL","CNC","30/30",156.14,"COMPLETE",""
